CvM,AD,PQ-PQ
0.01663314358267665,0.14157074258130906,0.09138410745442722
0.016798052463477344,0.16148180106999457,0.09441974722179967
0.020786081450659157,0.1623421028051596,0.11897904000263959
0.021540615285445742,0.16348214550823395,0.13234130789197518
0.02375108235407406,0.1862348520695436,0.1334627603255104
0.024219157091345266,0.191175094838694,0.13520810500362376
0.025492217088533872,0.19998559473218525,0.13737450100037657
0.02616376622852648,0.20032362851416002,0.13802098941890562
0.027845871241117936,0.20421046748377417,0.13814363137610294
0.028071476379023987,0.2117110036961095,0.13931344576961288
0.02831797444322229,0.2120988262530833,0.13988339379270887
0.02848584106417785,0.22017700096090484,0.14210705478248564
0.028496464849228725,0.22897689376158756,0.1424454777696443
0.029030003945716882,0.2326260009147223,0.14264956259049594
0.02903286317781496,0.23273697218771397,0.1453949500257774
0.029291931400480996,0.23386809516505455,0.14668176009417255
0.029312378399650497,0.23532046506438048,0.14947372474083273
0.02936764818363671,0.23588564001505996,0.15156934563601132
0.029698775877168983,0.2384450424233222,0.15188005249527994
0.029856584626793074,0.23864216868924035,0.15210075296084424
0.029918307288772025,0.24559059905569283,0.1531632237285319
0.029920385228789544,0.2487531245881941,0.1535010125907647
0.03008329611642857,0.24895136943082705,0.15704530897260952
0.03058682341992256,0.2524008123511491,0.15716922276957554
0.030673750082973242,0.2524371678855988,0.15851080644226123
0.031069805166723988,0.25244978238335697,0.16128286840313275
0.031109120551580743,0.253851886790547,0.16254796432521096
0.03114900168464733,0.2540124999881271,0.16393543433820779
0.03148132498018491,0.2550439435414303,0.166124640426552
0.03163828917205076,0.25527259682557607,0.16662558193962107
0.031822563220506944,0.2560163349909818,0.16821389483709503
0.03187489993197001,0.2608951304434666,0.172419717242652
0.032528388179075586,0.2613492272200366,0.17616072231853136
0.03269500160591427,0.2614850988703882,0.17827346901306484
0.03294951046813631,0.2618248411292181,0.1782838054780713
0.033447538850060916,0.2649058290618983,0.1808464383022086
0.03366235160461576,0.2694292037819519,0.18165239673287506
0.033846656568436696,0.27023560213112613,0.1828421045289053
0.03438410446200795,0.27291753912044975,0.1843684488780683
0.034986385363208486,0.2730578432653136,0.18469895829113306
0.0351487460518737,0.27449537498485255,0.18734895374475724
0.03547282107684247,0.27454928284277524,0.18797587246199793
0.035487502187653945,0.2832552542412194,0.18886009168443724
0.03570483161795845,0.2846348952308048,0.18977418915481134
0.035849479680119783,0.2850260306119938,0.1904780116226602
0.03590839442483788,0.2867414362908657,0.19088579139583514
0.03603175981908019,0.28781212892257513,0.1933303209122554
0.03614444813253704,0.2906770789467882,0.19458800131499443
0.036194157757521626,0.2921961773105919,0.1957762259101652
0.036195989348410264,0.2924711052000186,0.19845056270626343
0.036437588462545446,0.29616697462830555,0.19906478804062916
0.036724387102617495,0.29674452433931797,0.1993160594394234
0.03678332714515116,0.29737000529347746,0.19984111225473106
0.036882777826111775,0.2978534688538906,0.2012999249924156
0.036941644708294884,0.29901707019689233,0.20260891859861271
0.03714573475616522,0.2999976770829444,0.2032406892706713
0.03725822159522048,0.30172693132275175,0.20360094958868843
0.03735037795985382,0.3025833696423896,0.20431186152549652
0.03768199409031395,0.3035646645453724,0.2063229804259553
0.037885838505835094,0.30392782341174585,0.2081250565689859
0.037939534778798856,0.30708835842638477,0.208679700928338
0.03797784945646394,0.30945793944643196,0.21099904011513682
0.037998919750187314,0.31007810533251917,0.2112772893668481
0.03817556270745664,0.310915120603416,0.21156053693211402
0.038518053894104815,0.31389605089191086,0.21392405354003088
0.038829811020437345,0.3154909186204573,0.2161085472576822
0.03900812024856094,0.3155256985448958,0.2170081044792152
0.039196539433610636,0.3170162013447483,0.22102585383370077
0.03929367968889235,0.3170309742309757,0.22320616182947833
0.03940973561350176,0.3187122220428451,0.22345335362008736
0.03995144709951033,0.3187959360340918,0.22364826494428375
0.04032624514239468,0.3195972173212618,0.22440144775086163
0.04067140955289274,0.32125612695512934,0.22498464936838058
0.04070229296866783,0.32255896249514643,0.22619615703014173
0.04083835842751241,0.3239285942051367,0.22810877378706534
0.04120623985409608,0.3240490419603262,0.22874011403450045
0.04192136857481469,0.32409077325644436,0.22894128827914598
0.04210480317696673,0.325728566526473,0.22900248544268503
0.04308360283375177,0.32574647267417894,0.23333269847809004
0.04339404893133262,0.3272454547196398,0.23339527727564174
0.043406763342401615,0.3301430016339168,0.23439278170660086
0.04348650319829107,0.33151280186203713,0.23596823135281947
0.04349559617205986,0.3325535915714032,0.23669284341984856
0.0438882505519685,0.3332080415759797,0.23841447240271305
0.04406712035948394,0.3335115541833405,0.23904889134334856
0.04408291802749622,0.3339603606861226,0.24066393142569567
0.044157394952830616,0.33413748172779456,0.24118856086991503
0.044357607050869566,0.334552346391711,0.2471919897495116
0.04480517293893479,0.3359468519009867,0.24776076107673892
0.045190137691219746,0.3370765113805023,0.2488313402718911
0.04530307783259912,0.34165489097671864,0.2505926256663092
0.04531026589279755,0.3430499308873943,0.2512250085020336
0.045673617681438634,0.3434013926123148,0.25208239763558643
0.04582925280975551,0.34595257492107256,0.25269861575262936
0.045931697865895155,0.3461134717710297,0.25296791703640564
0.046659788966482846,0.3471521951819063,0.2537108419917034
0.046848694792550744,0.34828105218140704,0.2538413532733933
0.046917794973923524,0.35039676785359636,0.25385231030998046
0.0471872514644333,0.35201610564696084,0.2539765801448888
0.04724097944279522,0.35915661234682766,0.2559177411575832
0.047250287511123604,0.3592202916805847,0.25734007931399067
0.047387509218880894,0.359823679658137,0.25773605181494946
0.0480553939659688,0.3600051867014998,0.25809344537663337
0.04816060144549473,0.36198941296039305,0.26099059677835745
0.048319255055339155,0.36215874684206484,0.2614533164984234
0.04838259781291791,0.36304367075633365,0.26185718142430314
0.04849092990448637,0.36358393866921807,0.26233665778230725
0.04849443011789052,0.36401711842707124,0.2634690755689879
0.04855791477027333,0.3653313672972842,0.2638700346609848
0.048576542078958715,0.3679561917281793,0.2640975184958143
0.04904833761811394,0.368585883970148,0.2641770620632258
